packet_profile,packet_bytes,encrypted,mitigation,trials,mission_success_rate,mission_success_ci_low,mission_success_ci_high,collision_free_rate,collision_free_ci_low,collision_free_ci_high,mean_completed_waypoints,p10_completed_waypoints,p90_completed_waypoints,mean_total_time_s,p10_total_time_s,p90_total_time_s,mean_min_separation_m,p10_min_separation_m,p90_min_separation_m,mean_command_loss_rate,p10_command_loss_rate,p90_command_loss_rate,mean_arrival_loss_rate,p10_arrival_loss_rate,p90_arrival_loss_rate,mean_command_latency_ms,p10_command_latency_ms,p90_command_latency_ms,mean_arrival_latency_ms,p10_arrival_latency_ms,p90_arrival_latency_ms,mean_retries_per_waypoint,p10_retries_per_waypoint,p90_retries_per_waypoint,mean_snr_db,p10_snr_db,p90_snr_db,mean_gossip_delivery_rate,mean_gossip_loss_rate,p10_gossip_loss_rate,p90_gossip_loss_rate,mean_peer_age_s,p10_peer_age_s,p90_peer_age_s,mean_gossip_latency_ms,p10_gossip_latency_ms,p90_gossip_latency_ms,mean_gossip_bitrate_bps,p10_gossip_bitrate_bps,p90_gossip_bitrate_bps,operator_range_min_m,operator_range_max_m,operator_to_drone_freq_khz,drone_to_drone_freq_khz,mission_shadow_mean_db_min,mission_shadow_mean_db_max
32 B clear,32,False,No mitigation,40,0.3,0.18074670915695293,0.45430310654320405,1.0,0.9123754607496077,1.0,3.7,2.0,5.0,746.7,517.8,912.6,10.03658309952915,9.488625364540816,10.567387928233593,0.19110906637222427,0.0,0.36142857142857143,0.26167791971100796,0.0,0.5,7977.691100445081,2163.023651319389,14753.53754563032,10963.232089148913,2352.567947192498,19424.511536194655,1.2370833333333333,0.4,2.0500000000000007,9.623317471921556,6.649343875469787,12.284426515398328,0.9896928453207856,0.010307154679214486,0.008977829391891934,0.012269175081675087,0.02076264692309017,0.017955658783783787,0.024540007988283857,129.11236894308377,128.57349906577076,129.74103431656616,2533.6330779606046,2528.590911790912,2537.016756756757,1070.9458436354287,1870.6482833499192,28.0,50.0,6.0,10.0
32 B clear,32,False,Frequency hopping + redundancy,40,0.8,0.6524239261814333,0.8950013502683314,1.0,0.9123754607496077,1.0,4.8,4.0,5.0,871.0,833.8,925.2,10.020410069674687,9.447978788292763,10.499795873190106,0.08029526029526031,0.0,0.2014285714285714,0.18820192062839122,0.0,0.3763888888888889,4715.019781536425,2115.660469159491,9097.372939052388,8619.915715019608,2475.667515585293,14544.837024446233,0.74,0.2,1.6,11.616167981022963,9.484783213533856,13.918128372063785,0.9901525797165831,0.009847420283417025,0.00865182853717028,0.011273638074810166,0.019889380997291154,0.01730365707434053,0.023393376961631906,121.30680295848875,120.76133564597724,121.9648054462343,5069.581208148904,5062.278973056972,5075.702637889688,1070.9458436354287,1870.6482833499192,28.0,50.0,6.0,10.0
64 B encrypted,64,True,No mitigation,40,0.075,0.025835556771858226,0.19864530159097524,1.0,0.9123754607496077,1.0,3.4,2.0,4.0,740.7,527.8,922.4,10.01986334011155,9.143355725419388,10.599287372978077,0.22562193933517466,0.0,0.3598901098901099,0.3102889917100443,0.11111111111111116,0.4673684210526316,9269.318873852451,2443.8652960299805,14524.409200065129,12308.90800458415,5335.398598968714,18876.373089339584,1.4091666666666665,0.8,2.0,9.1764459710317,7.513610290509888,10.703385779892196,0.989465228225083,0.010534771774917118,0.009008290220033655,0.011973946135831425,0.02128384972202172,0.01801658044006732,0.024292740046838412,156.61454610443565,156.15525257901623,157.02423332161646,5066.061968512424,5058.693395784543,5073.877554073428,1070.9458436354287,1870.6482833499192,28.0,50.0,6.0,10.0
64 B encrypted,64,True,Frequency hopping + redundancy,40,0.45,0.307050752809447,0.6017117011155924,0.95,0.834958291820748,0.9861796228538989,4.225,2.9000000000000004,5.0,843.8,719.6,912.2,9.866879559801976,9.100150684925515,10.56290550177505,0.1113589937109674,0.0,0.2014285714285714,0.29520635410341295,0.15274725274725276,0.42946428571428574,5855.923850610125,2289.757847991116,9739.075640731671,11542.298256594613,7130.256721792097,16270.133905316103,1.075,0.6,1.606666666666667,10.871882602864833,8.902981155986776,13.255292112265028,0.9895910027265223,0.010408997273477614,0.009137081879745578,0.011620672475773686,0.02106142834807765,0.018634232584571187,0.023657539465457962,147.09288881108978,146.64084366767295,147.5476600474186,10133.411867919589,10121.004313848078,10146.436281551407,1070.9458436354287,1870.6482833499192,28.0,50.0,6.0,10.0
